"id","title","slug","publisher","published_at","version","max_index","created_at","updated_at"
1,"英単語ターゲット1900","ターゲット1900","旺文社",2020,6,1900,,
2,"英単語ターゲット1400","ターゲット1400","旺文社",2020,5,1400,,
3,"ターゲット中学英単語1800","中学ターゲット","旺文社",2019,4,1800.,
4,"システム英単語","システム","駿台文庫",2019,5,2000.,
5,"LEAP Basic","LEAP Basic","数研出版",2020,1,1400,,
6,"英熟語ターゲット1000","ターゲット1000","旺文社",2021,5,1000,,
7,"新装版 夢をかなえる英単語 ユメタン0 中学修了～高校基礎レベル","ユメタン0","アルク",2024,1,800,"2024-11-02 05:30:20","2024-11-02 05:30:20"
8,"データベース3300 基本英単語・熟語","データベース3300","桐原書店",2022,1,3300,"2024-11-03 11:04:04","2024-11-03 12:07:44"
